City,Average Cost for Two,Has Table Booking,Has Online Delivery,Is Delivering Now,Price Range,Aggregate Rating,Votes,Aggregate Rating/Average Cost for Two,Longitude_Of_City,Latitude_Of_City
Bangalore,950,No,No,No,2,4.7,276,0.0066,12.9716,77.5946
Bangalore,800,No,Yes,No,2,4.7,9667,0.0031538461538461538,12.9716,77.5946
Bangalore,1400,Yes,No,No,3,4.1,5385,0.001958333333333333,12.9716,77.5946
Bangalore,400,No,Yes,No,1,4.3,753,0.0024,12.9716,77.5946
Bangalore,1500,No,No,No,3,4.5,1288,0.003,12.9716,77.5946
Bangalore,1400,No,No,No,3,4.6,6907,0.0028,12.9716,77.5946
Bangalore,1200,Yes,No,No,3,4.4,983,0.005,12.9716,77.5946
Bangalore,600,No,No,No,2,4.6,627,0.007166666666666667,12.9716,77.5946
Bangalore,1200,No,No,No,3,4.2,334,0.007666666666666666,12.9716,77.5946
Bangalore,1800,Yes,Yes,No,3,4.5,5705,0.004947368421052632,12.9716,77.5946
Bangalore,1400,No,No,No,3,3.9,405,0.005875,12.9716,77.5946
Bangalore,1500,No,No,No,3,4.4,754,0.0029285714285714284,12.9716,77.5946
Bhopal,200,No,No,No,1,3.3,51,0.01075,23.2599,77.4126
Bhopal,600,No,No,No,2,3.4,63,0.003,23.2599,77.4126
Bhopal,250,No,No,No,1,4.9,427,0.0032857142857142855,23.2599,77.4126
Bhopal,700,No,No,No,2,3.9,126,0.003666666666666667,23.2599,77.4126
Bhopal,500,No,No,No,2,4.2,223,0.007666666666666666,23.2599,77.4126
Bhopal,1000,No,No,No,3,4.0,257,0.0035,23.2599,77.4126
Bhopal,1000,No,No,No,3,4.0,103,0.0025,23.2599,77.4126
Bhopal,650,No,No,No,2,4.1,118,0.0027857142857142855,23.2599,77.4126
Bhopal,600,No,No,No,2,3.8,98,0.0029333333333333334,23.2599,77.4126
Bhopal,500,No,No,No,2,3.8,33,0.0165,23.2599,77.4126
Bhopal,550,No,No,No,2,3.5,175,0.005666666666666666,23.2599,77.4126
Bhopal,500,No,No,No,2,3.6,111,0.019600000000000003,23.2599,77.4126
Bhopal,350,No,No,No,2,3.6,20,0.005571428571428571,23.2599,77.4126
Bhopal,500,No,No,No,2,4.1,103,0.008400000000000001,23.2599,77.4126
Bhopal,400,No,No,No,2,4.4,243,0.004,23.2599,77.4126
Bhopal,400,No,No,No,2,4.1,238,0.004,23.2599,77.4126
Bhopal,1800,No,No,No,4,4.3,128,0.0063076923076923076,23.2599,77.4126
Bhopal,500,No,No,No,2,3.9,161,0.006333333333333333,23.2599,77.4126
Bhopal,900,No,No,No,3,3.8,79,0.0076,23.2599,77.4126
Bhopal,500,No,No,No,2,4.3,120,0.006363636363636364,23.2599,77.4126
Bhubaneshwar,500,No,No,No,2,3.9,289,0.0072,20.2961,85.8245
Bhubaneshwar,550,No,No,No,2,4.1,379,0.010285714285714285,20.2961,85.8245
Bhubaneshwar,1200,No,No,No,3,4.6,154,0.008199999999999999,20.2961,85.8245
Bhubaneshwar,600,No,No,No,2,4.5,145,0.011000000000000001,20.2961,85.8245
Bhubaneshwar,500,No,No,No,2,3.9,247,0.010249999999999999,20.2961,85.8245
Bhubaneshwar,500,No,No,No,2,4.0,145,0.0023888888888888887,20.2961,85.8245
Bhubaneshwar,850,No,No,No,2,3.7,118,0.0078,20.2961,85.8245
Bhubaneshwar,1400,No,No,No,3,4.1,256,0.004222222222222222,20.2961,85.8245
Bhubaneshwar,450,No,No,No,1,3.6,173,0.0086,20.2961,85.8245
Bhubaneshwar,600,No,No,No,2,3.8,424,0.0078,20.2961,85.8245
Bhubaneshwar,450,No,No,No,1,3.7,338,0.007454545454545454,20.2961,85.8245
Bhubaneshwar,500,No,No,No,2,3.7,228,0.003833333333333333,20.2961,85.8245
Bhubaneshwar,450,No,No,No,1,3.8,253,0.0075,20.2961,85.8245
Bhubaneshwar,900,No,No,No,2,4.0,90,0.0078,20.2961,85.8245
Bhubaneshwar,400,No,No,No,1,4.0,197,0.008,20.2961,85.8245
Bhubaneshwar,800,No,No,No,2,4.3,69,0.004352941176470588,20.2961,85.8245
Bhubaneshwar,300,No,No,No,1,4.1,199,0.0029285714285714284,20.2961,85.8245
Bhubaneshwar,500,No,No,No,2,3.8,56,0.008,20.2961,85.8245
Bhubaneshwar,900,No,No,No,2,4.2,49,0.006333333333333333,20.2961,85.8245
Bhubaneshwar,1500,No,No,No,3,4.3,345,0.008222222222222223,20.2961,85.8245
Bhubaneshwar,400,No,No,No,1,3.5,89,0.0074,20.2961,85.8245
Chandigarh,850,No,Yes,Yes,2,3.7,665,0.008444444444444444,30.7333,76.7794
Chandigarh,1600,No,No,No,3,4.2,676,0.0044444444444444444,30.7333,76.7794
Chandigarh,1400,No,Yes,No,3,4.3,970,0.01,30.7333,76.7794
Chandigarh,1600,No,No,No,3,4.1,300,0.005375,30.7333,76.7794
Chandigarh,1400,No,No,No,3,4.0,428,0.013666666666666666,30.7333,76.7794
Chandigarh,1200,No,No,No,3,4.0,1022,0.0076,30.7333,76.7794
Chandigarh,1300,No,No,No,3,4.5,1450,0.004666666666666667,30.7333,76.7794
Chandigarh,1800,No,No,No,3,4.3,228,0.0028666666666666667,30.7333,76.7794
Chandigarh,700,No,No,No,2,3.8,982,0.00875,30.7333,76.7794
Chandigarh,1000,No,Yes,No,3,3.4,502,0.004352941176470588,30.7333,76.7794
Chandigarh,650,No,No,No,2,4.1,698,0.002625,30.7333,76.7794
Chandigarh,650,No,No,No,2,4.1,397,0.0030714285714285713,30.7333,76.7794
Chandigarh,450,No,Yes,No,1,4.0,265,0.0025624999999999997,30.7333,76.7794
Chandigarh,600,No,Yes,No,2,4.2,252,0.002857142857142857,30.7333,76.7794
Chandigarh,800,No,No,No,2,3.3,86,0.0033333333333333335,30.7333,76.7794
Chandigarh,2200,No,No,No,4,4.4,817,0.0034615384615384616,30.7333,76.7794
Chandigarh,500,No,Yes,No,2,4.5,249,0.0023888888888888887,30.7333,76.7794
Chandigarh,600,No,No,No,2,4.0,356,0.0054285714285714284,30.7333,76.7794
Chennai,800,Yes,Yes,No,2,4.2,1810,0.0034,13.0827,80.2707
Chennai,800,Yes,Yes,No,2,3.8,519,0.0063076923076923076,13.0827,80.2707
Chennai,750,Yes,Yes,No,2,4.4,1504,0.0063076923076923076,13.0827,80.2707
Chennai,850,Yes,Yes,No,2,4.2,841,0.008888888888888889,13.0827,80.2707
Chennai,1700,Yes,Yes,No,3,4.8,1262,0.007,13.0827,80.2707
Chennai,450,No,Yes,No,1,4.2,191,0.004125,13.0827,80.2707
Chennai,350,No,No,No,1,4.6,1510,0.002,13.0827,80.2707
Chennai,1100,No,No,No,3,4.1,1004,0.009,13.0827,80.2707
Chennai,1500,Yes,Yes,No,3,4.0,1820,0.006666666666666667,13.0827,80.2707
Chennai,1200,Yes,Yes,No,3,4.6,1753,0.00525,13.0827,80.2707
Chennai,1000,Yes,No,No,3,4.2,1714,0.00475,13.0827,80.2707
Chennai,900,No,Yes,No,2,3.8,1317,0.005866666666666667,13.0827,80.2707
Chennai,1200,Yes,Yes,No,3,4.3,1607,0.004941176470588235,13.0827,80.2707
Chennai,850,Yes,Yes,No,2,4.4,645,0.0028235294117647056,13.0827,80.2707
Chennai,850,Yes,Yes,No,2,4.3,742,0.009333333333333334,13.0827,80.2707
Chennai,1500,Yes,Yes,No,3,4.5,1210,0.013142857142857142,13.0827,80.2707
Chennai,2000,No,No,No,4,4.4,3848,0.003727272727272727,13.0827,80.2707
Chennai,1600,No,No,No,3,4.9,859,0.0026666666666666666,13.0827,80.2707
Chennai,1400,No,No,No,3,4.6,1267,0.003833333333333333,13.0827,80.2707
Chennai,900,Yes,No,No,2,4.0,2272,0.004200000000000001,13.0827,80.2707
Coimbatore,800,No,Yes,No,3,4.6,202,0.004222222222222222,11.0168,76.9558
Coimbatore,600,No,No,No,2,3.9,318,0.0035833333333333333,11.0168,76.9558
Coimbatore,400,No,Yes,No,2,3.8,124,0.0051764705882352945,11.0168,76.9558
Coimbatore,600,No,Yes,No,2,3.5,274,0.005058823529411765,11.0168,76.9558
Coimbatore,500,No,No,No,2,4.3,147,0.003,11.0168,76.9558
Coimbatore,1200,No,Yes,No,3,4.1,243,0.0022,11.0168,76.9558
Coimbatore,450,No,No,No,2,3.8,24,0.0030625,11.0168,76.9558
Coimbatore,350,No,No,No,2,4.5,380,0.0032857142857142855,11.0168,76.9558
Coimbatore,1200,No,No,No,3,3.8,221,0.0044444444444444444,11.0168,76.9558
Coimbatore,700,No,Yes,No,2,3.9,85,0.00575,11.0168,76.9558
Coimbatore,1200,No,No,No,3,4.2,40,0.0065,11.0168,76.9558
Coimbatore,600,No,Yes,No,2,4.0,132,0.0095,11.0168,76.9558
Coimbatore,1000,No,No,No,3,4.0,203,0.005833333333333334,11.0168,76.9558
Coimbatore,1500,No,No,No,4,4.0,215,0.0086,11.0168,76.9558
Coimbatore,400,No,No,No,2,4.3,225,0.0034166666666666664,11.0168,76.9558
Coimbatore,1400,No,No,No,3,4.2,299,0.008444444444444444,11.0168,76.9558
Coimbatore,350,No,Yes,No,2,4.9,200,0.012857142857142857,11.0168,76.9558
Coimbatore,700,No,No,No,2,4.2,221,0.0031666666666666666,11.0168,76.9558
Coimbatore,300,No,No,No,1,4.3,161,0.005571428571428571,11.0168,76.9558
Coimbatore,1400,No,No,No,3,4.4,505,0.0035,11.0168,76.9558
